id,date
2459,2020-01-22
2503,2020-01-23
2548,2020-01-24
2592,2020-01-25
2636,2020-01-26
2681,2020-01-27
2725,2020-01-28
2770,2020-01-29
2814,2020-01-30
2858,2020-01-31
1764,2020-02-01
1808,2020-02-02
1853,2020-02-03
1880,2020-02-04
1884,2020-02-05
1889,2020-02-06
1893,2020-02-07
1898,2020-02-08
1902,2020-02-09
1906,2020-02-10
1910,2020-02-11
1914,2020-02-12
1919,2020-02-13
1923,2020-02-14
1927,2020-02-15
1932,2020-02-16
1936,2020-02-17
1941,2020-02-18
1945,2020-02-19
1949,2020-02-20
1954,2020-02-21
1958,2020-02-22
1963,2020-02-23
1967,2020-02-24
1971,2020-02-25
1977,2020-02-26
1981,2020-02-27
1986,2020-02-28
1990,2020-02-29
1991,2020-03-01
1996,2020-03-02
2000,2020-03-03
2004,2020-03-04
2009,2020-03-05
2013,2020-03-06
2018,2020-03-07
2022,2020-03-08
2026,2020-03-09
2031,2020-03-10
2034,2020-03-11
2037,2020-03-12
2041,2020-03-13
2044,2020-03-14
2047,2020-03-15
2051,2020-03-16
2054,2020-03-17
2057,2020-03-18
2060,2020-03-19
2064,2020-03-20
2067,2020-03-21
2070,2020-03-22
2074,2020-03-23
2077,2020-03-24
2080,2020-03-25
2085,2020-03-26
2088,2020-03-27
2091,2020-03-28
2094,2020-03-29
2098,2020-03-30
2101,2020-03-31
2104,2020-04-01
2108,2020-04-02
2111,2020-04-03
2114,2020-04-04
2118,2020-04-05
2121,2020-04-06
2124,2020-04-07
2127,2020-04-08
2131,2020-04-09
2134,2020-04-10
2137,2020-04-11
2141,2020-04-12
2144,2020-04-13
2146,2020-04-14
2150,2020-04-15
2153,2020-04-16
2156,2020-04-17
2159,2020-04-18
2163,2020-04-19
2166,2020-04-20
2169,2020-04-21
2173,2020-04-22
2176,2020-04-24
2179,2020-04-25
2183,2020-04-26
2186,2020-04-27
2189,2020-04-28
2192,2020-04-29
2197,2020-04-30
2200,2020-05-01
2203,2020-05-02
2207,2020-05-03
2210,2020-05-04
2213,2020-05-05
2217,2020-05-06
2220,2020-05-07
2223,2020-05-08
2226,2020-05-09
2230,2020-05-10
2233,2020-05-11
2236,2020-05-12
2240,2020-05-13
2243,2020-05-14
2246,2020-05-15
2250,2020-05-16
2253,2020-05-17
2256,2020-05-18
2259,2020-05-19
2263,2020-05-20
2266,2020-05-21
2269,2020-05-22
2273,2020-05-23
2276,2020-05-24
2279,2020-05-25
2283,2020-05-26
2285,2020-05-27
2288,2020-05-28
2291,2020-05-29
2295,2020-05-30
2298,2020-05-31
2301,2020-06-01
2306,2020-06-02
2309,2020-06-03
2312,2020-06-04
2316,2020-06-05
2319,2020-06-06
2322,2020-06-07
2325,2020-06-08
2329,2020-06-09
2332,2020-06-10
2335,2020-06-11
2339,2020-06-12
2342,2020-06-13
2345,2020-06-14
2349,2020-06-15
2352,2020-06-16
2355,2020-06-17
2358,2020-06-18
2362,2020-06-19
2365,2020-06-20
2368,2020-06-21
2372,2020-06-22
2375,2020-06-23
2378,2020-06-24
2382,2020-06-25
2385,2020-06-26
2388,2020-06-27
2391,2020-06-28
2395,2020-06-29
2398,2020-06-30
2401,2020-07-01
2405,2020-07-02
2408,2020-07-03
2411,2020-07-04
2416,2020-07-05
2419,2020-07-06
2422,2020-07-07
2425,2020-07-08
2429,2020-07-09
2432,2020-07-10
2435,2020-07-11
2439,2020-07-12
2442,2020-07-13
2445,2020-07-14
2449,2020-07-15
2452,2020-07-16
2455,2020-07-17
2458,2020-07-18
2462,2020-07-19
2465,2020-07-20
2468,2020-07-21
2472,2020-07-22
2475,2020-07-23
2478,2020-07-24
2482,2020-07-25
2485,2020-07-26
2488,2020-07-27
2491,2020-07-28
2495,2020-07-29
2498,2020-07-30
2501,2020-07-31
2505,2020-08-01
2508,2020-08-02
2511,2020-08-03
2515,2020-08-04
2518,2020-08-05
2521,2020-08-06
2524,2020-08-07
2529,2020-08-08
2532,2020-08-09
2535,2020-08-10
2539,2020-08-11
2542,2020-08-12
2545,2020-08-13
2549,2020-08-14
2552,2020-08-15
2555,2020-08-16
2558,2020-08-17
2562,2020-08-18
2565,2020-08-19
2568,2020-08-20
2572,2020-08-21
2575,2020-08-22
2578,2020-08-23
2582,2020-08-24
2585,2020-08-25
2588,2020-08-26
2591,2020-08-27
2595,2020-08-28
2598,2020-08-29
2601,2020-08-30
2605,2020-08-31
2608,2020-09-01
2611,2020-09-02
2615,2020-09-03
2618,2020-09-04
2621,2020-09-05
2624,2020-09-06
2628,2020-09-07
2631,2020-09-08
2634,2020-09-09
2639,2020-09-10
2642,2020-09-11
2645,2020-09-12
2649,2020-09-13
2652,2020-09-14
2655,2020-09-15
2658,2020-09-16
2662,2020-09-17
2665,2020-09-18
2668,2020-09-19
2672,2020-09-20
2675,2020-09-21
2678,2020-09-22
2682,2020-09-23
2685,2020-09-24
2688,2020-09-25
2691,2020-09-26
2695,2020-09-27
2698,2020-09-28
2701,2020-09-29
2705,2020-09-30
2708,2020-10-01
2711,2020-10-02
2715,2020-10-03
2718,2020-10-04
2721,2020-10-05
2724,2020-10-06
2728,2020-10-07
2731,2020-10-08
2734,2020-10-09
2738,2020-10-10
2741,2020-10-11
2744,2020-10-12
2749,2020-10-13
2752,2020-10-14
2755,2020-10-15
2758,2020-10-16
2762,2020-10-17
2765,2020-10-18
2768,2020-10-19
2772,2020-10-20
2775,2020-10-21
2778,2020-10-22
2782,2020-10-23
2785,2020-10-24
2788,2020-10-25
2791,2020-10-26
2795,2020-10-27
2798,2020-10-28
2801,2020-10-29
2805,2020-10-30
2808,2020-10-31
2811,2020-11-01
2815,2020-11-02
2818,2020-11-03
2821,2020-11-04
2824,2020-11-05
2828,2020-11-06
2831,2020-11-07
2834,2020-11-08
2838,2020-11-09
2841,2020-11-10
2844,2020-11-11
2848,2020-11-12
2851,2020-11-13
2854,2020-11-14
2857,2020-11-15
1723,2020-11-16
1726,2020-11-17
1729,2020-11-18
1733,2020-11-19
1736,2020-11-20
1739,2020-11-21
1743,2020-11-22
1746,2020-11-23
1749,2020-11-24
1752,2020-11-25
1756,2020-11-26
1759,2020-11-27
1762,2020-11-28
1766,2020-11-29
1769,2020-11-30
1772,2020-12-01
1776,2020-12-02
1779,2020-12-03
1782,2020-12-04
1785,2020-12-05
1789,2020-12-06
1792,2020-12-07
1795,2020-12-08
1799,2020-12-09
1802,2020-12-10
1805,2020-12-11
1809,2020-12-12
1812,2020-12-13
1815,2020-12-14
1818,2020-12-15
1822,2020-12-16
1825,2020-12-17
1828,2020-12-18
1833,2020-12-19
1836,2020-12-20
1839,2020-12-21
1843,2020-12-22
1846,2020-12-23
1849,2020-12-24
1852,2020-12-25
1856,2020-12-26
1859,2020-12-27
1862,2020-12-28
1866,2020-12-29
1869,2020-12-30
1872,2020-12-31
1876,2021-01-01
1720,2021-01-02
2194,2021-01-03
2526,2021-01-04
2859,2021-01-05
1896,2021-01-06
1928,2021-01-07
1961,2021-01-08
1995,2021-01-09
2028,2021-01-10
2061,2021-01-11
2095,2021-01-12
2128,2021-01-13
2160,2021-01-14
2193,2021-01-15
2227,2021-01-16
2260,2021-01-17
2292,2021-01-18
2326,2021-01-19
2359,2021-01-20
2392,2021-01-21
2426,2021-01-22
2470,2021-01-23
2514,2021-01-24
2559,2021-01-25
2603,2021-01-26
2648,2021-01-27
2692,2021-01-28
2736,2021-01-29
2781,2021-01-30
2825,2021-01-31
1731,2021-02-01
1775,2021-02-02
1819,2021-02-03
1864,2021-02-04
1881,2021-02-05
1886,2021-02-06
1890,2021-02-07
1894,2021-02-08
1899,2021-02-09
1903,2021-02-10
1908,2021-02-11
1911,2021-02-12
1915,2021-02-13
1920,2021-02-14
1924,2021-02-15
1929,2021-02-16
1933,2021-02-17
1937,2021-02-18
1942,2021-02-19
1946,2021-02-20
1951,2021-02-21
1955,2021-02-22
1959,2021-02-23
1964,2021-02-24
1968,2021-02-25
1974,2021-02-26
1978,2021-02-27
1982,2021-02-28
1987,2021-03-01
1992,2021-03-02
1997,2021-03-03
2001,2021-03-04
2005,2021-03-05
2010,2021-03-06
2014,2021-03-07
2019,2021-03-08
2023,2021-03-09
2027,2021-03-10
2032,2021-03-11
2035,2021-03-12
2038,2021-03-13
2042,2021-03-14
2045,2021-03-15
2048,2021-03-16
2052,2021-03-17
2055,2021-03-18
2058,2021-03-19
2062,2021-03-20
2065,2021-03-21
2068,2021-03-22
2071,2021-03-23
2075,2021-03-24
2078,2021-03-25
2081,2021-03-26
2086,2021-03-27
2089,2021-03-28
2092,2021-03-29
2096,2021-03-30
2099,2021-03-31
2102,2021-04-01
2105,2021-04-02
2109,2021-04-03
2112,2021-04-04
2115,2021-04-05
2119,2021-04-06
2122,2021-04-07
2125,2021-04-08
2129,2021-04-09
2132,2021-04-10
2135,2021-04-11
2138,2021-04-12
2142,2021-04-13
2145,2021-04-14
2147,2021-04-15
2151,2021-04-16
2154,2021-04-17
2157,2021-04-18
2161,2021-04-19
2164,2021-04-20
2167,2021-04-21
2170,2021-04-22
2174,2021-04-23
2177,2021-04-24
2180,2021-04-25
2184,2021-04-26
2187,2021-04-27
2190,2021-04-28
2195,2021-04-29
2198,2021-04-30
2201,2021-05-01
2204,2021-05-02
2208,2021-05-03
2211,2021-05-04
2214,2021-05-05
2218,2021-05-06
2221,2021-05-07
2224,2021-05-08
2228,2021-05-09
2231,2021-05-10
2234,2021-05-11
2237,2021-05-12
2241,2021-05-13
2244,2021-05-14
2247,2021-05-15
2251,2021-05-16
2254,2021-05-17
2257,2021-05-18
2261,2021-05-19
2264,2021-05-20
2267,2021-05-21
2270,2021-05-22
2274,2021-05-23
2277,2021-05-24
2280,2021-05-25
2284,2021-05-26
2286,2021-05-27
2289,2021-05-28
2293,2021-05-29
2296,2021-05-30
2299,2021-05-31
2302,2021-06-01
2307,2021-06-02
2310,2021-06-03
2313,2021-06-04
2317,2021-06-05
2320,2021-06-06
2323,2021-06-07
2327,2021-06-08
2330,2021-06-09
2333,2021-06-10
2336,2021-06-11
2340,2021-06-12
2343,2021-06-13
2346,2021-06-14
2350,2021-06-15
2353,2021-06-16
2356,2021-06-17
2360,2021-06-18
2363,2021-06-19
2366,2021-06-20
2369,2021-06-21
2373,2021-06-22
2376,2021-06-23
2379,2021-06-24
2383,2021-06-25
2386,2021-06-26
2389,2021-06-27
2393,2021-06-28
2396,2021-06-29
2399,2021-06-30
2402,2021-07-01
2406,2021-07-02
2409,2021-07-03
2412,2021-07-04
2417,2021-07-05
2420,2021-07-06
2423,2021-07-07
2427,2021-07-08
2430,2021-07-09
2433,2021-07-10
2436,2021-07-11
2440,2021-07-12
2443,2021-07-13
2446,2021-07-14
2450,2021-07-15
2453,2021-07-16
2456,2021-07-17
2460,2021-07-18
2463,2021-07-19
2466,2021-07-20
2469,2021-07-21
2473,2021-07-22
2476,2021-07-23
2479,2021-07-24
2483,2021-07-25
2486,2021-07-26
2489,2021-07-27
2493,2021-07-28
2496,2021-07-29
2499,2021-07-30
2502,2021-07-31
2506,2021-08-01
2509,2021-08-02
2512,2021-08-03
2516,2021-08-04
2519,2021-08-05
2522,2021-08-06
2527,2021-08-07
2530,2021-08-08
2533,2021-08-09
2536,2021-08-10
2540,2021-08-11
2543,2021-08-12
2546,2021-08-13
2550,2021-08-14
2553,2021-08-15
2556,2021-08-16
2560,2021-08-17
2563,2021-08-18
2566,2021-08-19
2569,2021-08-20
2573,2021-08-21
2576,2021-08-22
2579,2021-08-23
2583,2021-08-24
2586,2021-08-25
2589,2021-08-26
2593,2021-08-27
2596,2021-08-28
2599,2021-08-29
2602,2021-08-30
2606,2021-08-31
2609,2021-09-01
2612,2021-09-02
2616,2021-09-03
2619,2021-09-04
2622,2021-09-05
2626,2021-09-06
2629,2021-09-07
2632,2021-09-08
2635,2021-09-09
2640,2021-09-10
2643,2021-09-11
2646,2021-09-12
2650,2021-09-13
2653,2021-09-14
2656,2021-09-15
2660,2021-09-16
2663,2021-09-17
2666,2021-09-18
2669,2021-09-19
2673,2021-09-20
2676,2021-09-21
2679,2021-09-22
2683,2021-09-23
2686,2021-09-24
2689,2021-09-25
2693,2021-09-26
2696,2021-09-27
2699,2021-09-28
2702,2021-09-29
2706,2021-09-30
2709,2021-10-01
2712,2021-10-02
2716,2021-10-03
2719,2021-10-04
2722,2021-10-05
2726,2021-10-06
2729,2021-10-07
2732,2021-10-08
2735,2021-10-09
2739,2021-10-10
2742,2021-10-11
2745,2021-10-12
2750,2021-10-13
2753,2021-10-14
